seed,label_noise,feature_noise,macro_f1,alpha_opt
20260630,0.0,gaussian,0.9446340445382897,0.65
20260630,0.0,heavy_tailed,0.9397058823529412,0.65
20260630,0.05,none,0.9558518871294202,0.55
20260630,0.05,gaussian,0.9001937984496124,0.65
20260630,0.05,heavy_tailed,0.8099426194592698,0.65
20260630,0.1,none,0.8773773172080498,0.55
20260630,0.1,gaussian,0.8217878343806662,0.7
20260630,0.1,heavy_tailed,0.7877534448194483,0.65
20260630,0.2,none,0.6828060653669452,0.7
20260630,0.2,gaussian,0.6716443655898081,0.7
20260630,0.2,heavy_tailed,0.6361094224924011,0.15
20260631,0.0,none,1.0,0.0
20260631,0.0,gaussian,0.9751460924807837,0.75
20260631,0.0,heavy_tailed,0.9296568627450981,0.65
20260631,0.05,none,0.9058018331761348,0.35
20260631,0.05,gaussian,0.8732824806817899,0.75
20260631,0.05,heavy_tailed,0.775240415112532,0.6
20260631,0.1,none,0.768060470378662,0.45
20260631,0.1,gaussian,0.812458071409049,0.65
20260631,0.1,heavy_tailed,0.7647058823529411,0.7
20260631,0.2,none,0.6805194805194805,0.55
20260631,0.2,gaussian,0.7102202961357891,0.7
20260631,0.2,heavy_tailed,0.6818713450292397,0.6
20260632,0.0,none,1.0,0.0
20260632,0.0,gaussian,0.9451671732522797,0.7
20260632,0.0,heavy_tailed,0.9497549019607843,0.25
20260632,0.05,none,0.9007167764432391,0.45
20260632,0.05,gaussian,0.9151808643334067,0.65
20260632,0.05,heavy_tailed,0.8402667272865045,0.6
20260632,0.1,none,0.8294177490713797,0.8
20260632,0.1,gaussian,0.8201410658307211,0.65
20260632,0.1,heavy_tailed,0.7803430574683862,0.6
20260632,0.2,none,0.698529411764706,0.9
20260632,0.2,gaussian,0.6842911877394635,0.65
20260632,0.2,heavy_tailed,0.6805194805194805,0.6
20260633,0.0,none,1.0,0.0
20260633,0.0,gaussian,0.9551367781155014,0.6
20260633,0.0,heavy_tailed,0.9303127428127427,0.7
20260633,0.05,none,0.935591985428051,0.2
20260633,0.05,gaussian,0.8630797773654916,0.65
20260633,0.05,heavy_tailed,0.8588235294117648,0.65
20260633,0.1,none,0.8464116575591986,0.0
20260633,0.1,gaussian,0.774604311028152,0.65
20260633,0.1,heavy_tailed,0.8043749541217059,0.65
20260633,0.2,none,0.797995742747124,0.55
20260633,0.2,gaussian,0.6503303303303304,0.75
20260633,0.2,heavy_tailed,0.6070193956986409,0.7
20260634,0.0,none,1.0,0.0
20260634,0.0,gaussian,0.9548557586434706,1.0
20260634,0.0,heavy_tailed,0.9397058823529412,0.7
20260634,0.05,none,0.9259767458655305,0.6
20260634,0.05,gaussian,0.9108695652173913,0.65
20260634,0.05,heavy_tailed,0.8965765765765767,0.05
20260634,0.1,none,0.8374774774774774,0.55
